Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price ($),Total Revenue ($),Region,Payment Method
10001,01/01/2024,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Credit Card
10002,01/02/2024,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Europe,PayPal
10003,01/03/2024,Clothing,Levi's 501 Jeans,3,69.99,209.97,Asia,Debit Card
10004,01/04/2024,Books,The Da Vinci Code,4,15.99,63.96,North America,Credit Card
10005,01/05/2024,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Europe,PayPal
10006,01/06/2024,Sports,Wilson Evolution Basketball,5,29.99,149.95,Asia,Credit Card
10007,01/07/2024,Electronics,MacBook Pro 16-inch,1,2499.99,2499.99,North America,Credit Card
10008,01/08/2024,Home Appliances,Blueair Classic 480i,2,599.99,1199.98,Europe,PayPal
10009,01/09/2024,Clothing,Nike Air Force 1,6,89.99,539.94,Asia,Debit Card
10010,01/10/2024,Books,Dune by Frank Herbert,2,25.99,51.98,North America,Credit Card
10011,01/11/2024,Beauty Products,Chanel No. 5 Perfume,1,129.99,129.99,Europe,PayPal
10012,01/12/2024,Sports,Babolat Pure Drive Tennis Racket,3,199.99,599.97,Asia,Credit Card
10013,01/13/2024,Electronics,Samsung Galaxy Tab S8,2,749.99,1499.98,North America,Credit Card
10014,01/14/2024,Home Appliances,Keurig K-Elite Coffee Maker,1,189.99,189.99,Europe,PayPal
10015,01/15/2024,Clothing,North Face Down Jacket,2,249.99,499.98,Asia,Debit Card
10016,01/16/2024,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",3,35.99,107.97,North America,Credit Card
10017,01/17/2024,Beauty Products,Dyson Supersonic Hair Dryer,1,399.99,399.99,Europe,PayPal
10018,01/18/2024,Sports,Manduka PRO Yoga Mat,4,119.99,479.96,Asia,Credit Card
10019,01/19/2024,Electronics,Garmin Forerunner 945,2,499.99,999.98,North America,Credit Card
10020,01/20/2024,Home Appliances,Ninja Professional Blender,1,99.99,99.99,Europe,PayPal
10021,01/21/2024,Clothing,Zara Summer Dress,3,59.99,179.97,Asia,Debit Card
10022,01/22/2024,Books,Gone Girl by Gillian Flynn,2,22.99,45.98,North America,Credit Card
10023,01/23/2024,Beauty Products,Olay Regenerist Face Cream,1,49.99,49.99,Europe,PayPal
10024,01/24/2024,Sports,Adidas FIFA World Cup Football,3,29.99,89.97,Asia,Credit Card
10025,01/25/2024,Electronics,Bose QuietComfort 35 Headphones,1,299.99,299.99,North America,Credit Card
10026,01/26/2024,Home Appliances,Panasonic NN-SN966S Microwave,1,179.99,179.99,Europe,PayPal
10027,01/27/2024,Clothing,Adidas Ultraboost Shoes,2,179.99,359.98,Asia,Debit Card
10028,01/28/2024,Books,Pride and Prejudice by Jane Austen,3,12.99,38.97,North America,Credit Card
10029,01/29/2024,Beauty Products,MAC Ruby Woo Lipstick,1,29.99,29.99,Europe,PayPal
10030,01/30/2024,Sports,Nike Air Zoom Pegasus 37,2,129.99,259.98,Asia,Credit Card
10031,01/31/2024,Electronics,Sony WH-1000XM4 Headphones,2,349.99,699.98,North America,Credit Card
10032,02/01/2024,Home Appliances,Instant Pot Duo,3,89.99,269.97,Europe,PayPal
10033,02/02/2024,Clothing,Under Armour HeatGear T-Shirt,5,29.99,149.95,Asia,Debit Card
10034,02/03/2024,Books,1984 by George Orwell,4,19.99,79.96,North America,Credit Card
10035,02/04/2024,Beauty Products,L'Oreal Revitalift Serum,2,39.99,79.98,Europe,PayPal
10036,02/05/2024,Sports,Peloton Bike,1,1895.0,1895.0,Asia,Credit Card
10037,02/06/2024,Electronics,Apple Watch Series 8,3,399.99,1199.97,North America,Credit Card
10038,02/07/2024,Home Appliances,Roomba i7+,2,799.99,1599.98,Europe,PayPal
10039,02/08/2024,Clothing,Columbia Fleece Jacket,4,59.99,239.96,Asia,Debit Card
10040,02/09/2024,Books,Harry Potter and the Sorcerer's Stone,3,24.99,74.97,North America,Credit Card
10041,02/10/2024,Beauty Products,Estee Lauder Advanced Night Repair,1,105.0,105.0,Europe,PayPal
10042,02/11/2024,Sports,Fitbit Charge 5,2,129.99,259.98,Asia,Credit Card
10043,02/12/2024,Electronics,GoPro HERO10 Black,3,399.99,1199.97,North America,Credit Card
10044,02/13/2024,Home Appliances,Nespresso VertuoPlus,1,199.99,199.99,Europe,PayPal
10045,02/14/2024,Clothing,Patagonia Better Sweater,2,139.99,279.98,Asia,Debit Card
10046,02/15/2024,Books,Becoming by Michelle Obama,4,32.5,130.0,North America,Credit Card
10047,02/16/2024,Beauty Products,Clinique Moisture Surge,1,52.0,52.0,Europe,PayPal
10048,02/17/2024,Sports,Yeti Rambler Tumbler,6,39.99,239.94,Asia,Credit Card
10049,02/18/2024,Electronics,Kindle Paperwhite,2,129.99,259.98,North America,Credit Card
10050,02/19/2024,Home Appliances,Breville Smart Oven,1,299.99,299.99,Europe,PayPal
10051,02/20/2024,Clothing,Ray-Ban Aviator Sunglasses,3,154.99,464.97,Asia,Debit Card
10052,02/21/2024,Books,The Silent Patient by Alex Michaelides,2,26.99,53.98,North America,Credit Card
10053,02/22/2024,Beauty Products,Shiseido Ultimate Sun Protector,1,49.0,49.0,Europe,PayPal
10054,02/23/2024,Sports,Titleist Pro V1 Golf Balls,5,49.99,249.95,Asia,Credit Card
10055,02/24/2024,Electronics,Anker PowerCore Portable Charger,4,59.99,239.96,North America,Credit Card
10056,02/25/2024,Home Appliances,KitchenAid Artisan Stand Mixer,1,499.99,499.99,Europe,PayPal
10057,02/26/2024,Clothing,Calvin Klein Boxer Briefs,5,29.99,149.95,Asia,Debit Card
10058,02/27/2024,Books,Educated by Tara Westover,3,28.0,84.0,North America,Credit Card
10059,02/28/2024,Beauty Products,Anastasia Beverly Hills Brow Wiz,2,23.0,46.0,Europe,PayPal
10060,02/29/2024,Sports,Hyperice Hypervolt Massager,1,349.0,349.0,Asia,Credit Card
10061,03/01/2024,Electronics,Nintendo Switch,3,299.99,899.97,North America,Credit Card
10062,03/02/2024,Home Appliances,Philips Airfryer XXL,2,199.99,399.98,Europe,PayPal
10063,03/03/2024,Clothing,Hanes ComfortSoft T-Shirt,10,9.99,99.9,Asia,Debit Card
